date,support
10/23/13,5.83106576
10/24/13,5.831292517
10/25/13,5.831519274
10/26/13,5.846031746
10/27/13,5.860544218
10/28/13,5.895464853
10/29/13,5.930385488
10/30/13,5.965306122
10/31/13,5.997959184
11/1/13,6.030612245
11/2/13,6.063265306
11/3/13,6.095918367
11/4/13,6.087755102
11/5/13,6.079591837
11/6/13,6.071428571
11/7/13,6.053061224
11/8/13,6.044217687
11/9/13,6.03537415
11/10/13,6.026530612
11/11/13,6.058503401
11/12/13,6.09047619
11/13/13,6.140306122
11/14/13,6.169727891
11/15/13,6.19914966
11/16/13,6.228571429
11/17/13,6.257993197
11/18/13,6.246598639
11/19/13,6.235204082
11/20/13,6.21292517
11/21/13,6.244217687
11/22/13,6.275510204
11/23/13,6.286289901
11/24/13,6.297069597
11/25/13,6.328257457
11/26/13,6.359445317
11/27/13,6.390633176
11/28/13,6.328623757
11/29/13,6.266614338
11/30/13,6.204604919
12/1/13,6.1425955
12/2/13,6.080586081
12/3/13,6.018576661
12/4/13,5.968472004
12/5/13,5.918367347
12/6/13,5.879251701
12/7/13,5.840136054
12/8/13,5.801020408
12/9/13,5.761904762
12/10/13,5.734693878
12/11/13,5.717687075
12/12/13,5.721088435
12/13/13,5.724489796
12/14/13,5.727891156
12/15/13,5.731292517
12/16/13,5.755102041
12/17/13,5.778911565
12/18/13,5.796768707
12/19/13,5.81462585
12/20/13,5.834225153
12/21/13,5.860967314
12/22/13,5.887709474
12/23/13,5.88724075
12/24/13,5.886772026
12/25/13,5.886303302
12/26/13,5.885834578
12/27/13,5.885365854
12/28/13,5.88489713
12/29/13,5.884428406
12/30/13,5.883959681
12/31/13,5.883490957
1/1/14,5.883022233
1/2/14,5.912485482
1/3/14,5.941948731
1/4/14,5.971411979
1/5/14,6.000875228
1/6/14,6.030338477
1/7/14,6.056230297
1/8/14,6.082122117
1/9/14,6.108013937
1/10/14,6.120269394
1/11/14,6.13252485
1/12/14,6.144780307
1/13/14,6.163838484
1/14/14,6.19083317
1/15/14,6.217827855
1/16/14,6.224414378
1/17/14,6.2310009
1/18/14,6.227383341
1/19/14,6.223765781
1/20/14,6.220148222
1/21/14,6.216530663
1/22/14,6.20543011
1/23/14,6.186393049
1/24/14,6.167355989
1/25/14,6.148318928
1/26/14,6.129281868
1/27/14,6.110244807
1/28/14,6.091207747
1/29/14,6.072170686
1/30/14,6.048144712
1/31/14,6.024118738
2/1/14,5.992980829
2/2/14,5.961842919
2/3/14,5.930705009
2/4/14,5.890638528
2/5/14,5.850572047
2/6/14,5.810505566
2/7/14,5.800742115
2/8/14,5.790978664
2/9/14,5.781215213
2/10/14,5.751043599
2/11/14,5.720871985
2/12/14,5.687724181
2/13/14,5.654576376
2/14/14,5.621428571
2/15/14,5.588280767
2/16/14,5.555132962
2/17/14,5.562801484
2/18/14,5.59130334
2/19/14,5.619805195
2/20/14,5.64830705
2/21/14,5.682701161
2/22/14,5.723897994
2/23/14,5.765094826
2/24/14,5.806291658
2/25/14,5.84748849
2/26/14,5.866831581
2/27/14,5.886174672
2/28/14,5.905517763
3/1/14,5.918367347
3/2/14,5.931216931
3/3/14,5.923658352
3/4/14,5.916099773
3/5/14,5.928949358
3/6/14,5.941798942
3/7/14,5.961142033
3/8/14,5.980485123
3/9/14,5.999828214
3/10/14,5.978354978
3/11/14,5.956881743
3/12/14,5.934132997
3/13/14,5.911384251
3/14/14,5.888635505
3/15/14,5.859084038
3/16/14,5.829532571
3/17/14,5.861205593
3/18/14,5.892878616
3/19/14,5.93135436
3/20/14,5.935296846
3/21/14,5.939239332
3/22/14,5.943181818
3/23/14,5.947124304
3/24/14,5.910250464
3/25/14,5.873376623
3/26/14,5.836502783
3/27/14,5.835343228
3/28/14,5.834183673
3/29/14,5.778911565
3/30/14,5.723639456
3/31/14,5.709183673
4/1/14,5.694727891
4/2/14,5.613945578
4/3/14,5.553571429
4/4/14,5.540816327
4/5/14,5.528061224
4/6/14,5.515306122
4/7/14,5.482142857
4/8/14,5.448979592
4/9/14,5.458333333
4/10/14,5.467687075
4/11/14,5.477040816
4/12/14,5.486394558
4/13/14,5.495748299
4/14/14,5.505102041
4/15/14,5.50255102
4/16/14,5.5
4/17/14,5.50255102
4/18/14,5.505102041
4/19/14,5.507653061
4/20/14,5.510204082
4/21/14,5.512755102
4/22/14,5.515306122
4/23/14,5.517857143
4/24/14,5.520408163
4/25/14,5.522959184
4/26/14,5.554081633
4/27/14,5.585204082
4/28/14,5.616326531
4/29/14,5.64744898
4/30/14,5.708333333
5/1/14,5.731717687
5/2/14,5.755102041
5/3/14,5.778486395
5/4/14,5.801870748
5/5/14,5.825255102
5/6/14,5.836734694
5/7/14,5.848214286
5/8/14,5.821428571
5/9/14,5.794642857
5/10/14,5.773148148
5/11/14,5.751653439
5/12/14,5.709750567
5/13/14,5.667847695
5/14/14,5.653155707
5/15/14,5.658251364
5/16/14,5.66334702
5/17/14,5.677371249
5/18/14,5.691395477
5/19/14,5.746236032
5/20/14,5.75940992
5/21/14,5.772583808
5/22/14,5.761948173
5/23/14,5.751312537
5/24/14,5.740676901
5/25/14,5.730041266
5/26/14,5.698997467
5/27/14,5.667953668
5/28/14,5.724494903
5/29/14,5.781036138
5/30/14,5.837577373
5/31/14,5.894118608
6/1/14,5.950659844
6/2/14,6.007201079
6/3/14,6.063742314
6/4/14,6.092222324
6/5/14,6.084988049
6/6/14,6.081986578
6/7/14,6.078985108
6/8/14,6.075983637
6/9/14,6.052574003
6/10/14,6.029164368
6/11/14,6.005754734
6/12/14,6.014487957
6/13/14,6.02322118
6/14/14,6.031954403
6/15/14,6.040687626
6/16/14,6.090237176
6/17/14,6.135705093
6/18/14,6.163315867
6/19/14,6.190926641
6/20/14,6.218537415
6/21/14,6.231946625
6/22/14,6.245355835
6/23/14,6.238356881
6/24/14,6.221153846
6/25/14,6.205651491
6/26/14,6.208006279
6/27/14,6.210361068
6/28/14,6.212715856
6/29/14,6.215070644
6/30/14,6.237833595
7/1/14,6.260596546
7/2/14,6.283359498
7/3/14,6.326530612
7/4/14,6.369701727
7/5/14,6.412872841
7/6/14,6.456043956
7/7/14,6.478806907
7/8/14,6.501569859
7/9/14,6.52433281
7/10/14,6.526687598
7/11/14,6.529042386
7/12/14,6.531397174
7/13/14,6.533751962
7/14/14,6.53610675
7/15/14,6.538461538
7/16/14,6.540816327
7/17/14,6.543877551
7/18/14,6.546938776
7/19/14,6.55
7/20/14,6.553061224
7/21/14,6.535714286
7/22/14,6.518367347
7/23/14,6.495918367
7/24/14,6.497278912
7/25/14,6.498639456
7/26/14,6.5
7/27/14,6.501360544
7/28/14,6.523129252
7/29/14,6.544897959
7/30/14,6.542857143
7/31/14,6.520408163
8/1/14,6.497959184
8/2/14,6.475510204
8/3/14,6.453061224
8/4/14,6.430612245
8/5/14,6.408163265
8/6/14,6.341071429
8/7/14,6.294387755
8/8/14,6.254197588
8/9/14,6.214007421
8/10/14,6.173817254
8/11/14,6.133627087
8/12/14,6.09343692
8/13/14,6.053246753
8/14/14,6.088311688
8/15/14,6.123376623
8/16/14,6.158441558
8/17/14,6.193506494
8/18/14,6.228571429
8/19/14,6.263636364
8/20/14,6.290538033
8/21/14,6.276113173
8/22/14,6.261688312
8/23/14,6.237059369
8/24/14,6.212430427
8/25/14,6.167393321
8/26/14,6.122356215
8/27/14,6.077319109
8/28/14,6.066295609
8/29/14,6.055272109
8/30/14,6.013945578
8/31/14,5.972619048
9/1/14,5.95170068
9/2/14,5.930782313
9/3/14,5.921768707
9/4/14,5.912755102
9/5/14,5.921057514
9/6/14,5.939564007
9/7/14,5.958070501
9/8/14,5.996985158
9/9/14,6.035899814
9/10/14,6.074814471
9/11/14,6.030395795
9/12/14,5.985977118
9/13/14,5.941558442
9/14/14,5.897139765
9/15/14,5.832312925
9/16/14,5.767486085
9/17/14,5.759206865
9/18/14,5.755579505
9/19/14,5.751952144
9/20/14,5.748324784
9/21/14,5.744697424
9/22/14,5.741070064
9/23/14,5.737442704
9/24/14,5.752182691
9/25/14,5.70085125
9/26/14,5.649519808
9/27/14,5.604681873
9/28/14,5.559843938
9/29/14,5.494597839
9/30/14,5.531137455
10/1/14,5.567677071
10/2/14,5.604216687
10/3/14,5.647249809
10/4/14,5.690282931
10/5/14,5.733316054
10/6/14,5.820566863
10/7/14,5.907817673
10/8/14,5.926616101
10/9/14,5.945414529
10/10/14,5.964212958
10/11/14,5.983011386
10/12/14,5.978000291
10/13/14,5.972989196
10/14/14,6.000716196
10/15/14,6.028443195
10/16/14,6.056170195
10/17/14,6.083897195
10/18/14,6.111624195
10/19/14,6.139351195
10/20/14,6.187486358
10/21/14,6.235621521
10/22/14,6.252319109
10/23/14,6.269016698
10/24/14,6.285714286
10/25/14,6.298534799
10/26/14,6.311355311
10/27/14,6.283359498
10/28/14,6.255363684
10/29/14,6.22864338
10/30/14,6.201923077
10/31/14,6.175202773
11/1/14,6.14848247
11/2/14,6.121762166
11/3/14,6.135858189
11/4/14,6.149954212
11/5/14,6.164050235
11/6/14,6.130952381
11/7/14,6.108843537
11/8/14,6.086734694
11/9/14,6.06462585
11/10/14,6.00170068
11/11/14,5.93877551
11/12/14,5.947278912
11/13/14,5.996598639
11/14/14,6.045918367
11/15/14,6.081632653
11/16/14,6.117346939
11/17/14,6.173469388
11/18/14,6.193877551
11/19/14,6.214285714
11/20/14,6.214285714
11/21/14,6.214285714
11/22/14,6.214285714
11/23/14,6.196428571
11/24/14,6.178571429
11/25/14,6.169642857
11/26/14,6.147108844
11/27/14,6.12457483
11/28/14,6.102040816
11/29/14,6.069302721
11/30/14,6.036564626
12/1/14,6.021683673
12/2/14,6.006802721
12/3/14,5.982993197
12/4/14,5.959183673
12/5/14,5.973469388
12/6/14,5.987755102
12/7/14,6.002040816
12/8/14,6.036734694
12/9/14,6.071428571
12/10/14,6.106122449
12/11/14,6.140816327
12/12/14,6.146938776
12/13/14,6.155102041
12/14/14,6.163265306
12/15/14,6.151020408
12/16/14,6.13877551
12/17/14,6.172108844
12/18/14,6.203741497
12/19/14,6.23537415
12/20/14,6.207482993
12/21/14,6.172789116
12/22/14,6.138095238
12/23/14,6.103401361
12/24/14,6.068707483
12/25/14,6.034013605
12/26/14,5.999319728
12/27/14,5.96462585
12/28/14,5.929931973
12/29/14,5.895238095
12/30/14,5.860544218
12/31/14,5.82585034
1/1/15,5.791156463
1/2/15,5.756462585
1/3/15,5.721768707
1/4/15,5.68707483
1/5/15,5.652380952
1/6/15,5.617687075
1/7/15,5.571655329
1/8/15,5.50521542
1/9/15,5.460204082
1/10/15,5.415192744
1/11/15,5.376984127
1/12/15,5.33877551
1/13/15,5.300566893
1/14/15,5.262358277
1/15/15,5.264965986
1/16/15,5.289795918
1/17/15,5.322789116
1/18/15,5.355782313
1/19/15,5.38877551
1/20/15,5.421768707
1/21/15,5.44047619
1/22/15,5.43877551
1/23/15,5.43707483
1/24/15,5.43537415
1/25/15,5.454081633
1/26/15,5.472789116
1/27/15,5.491496599
1/28/15,5.510204082
1/29/15,5.506957328
1/30/15,5.503710575
1/31/15,5.500463822
2/1/15,5.476808905
2/2/15,5.453153989
2/3/15,5.420570501
2/4/15,5.387987013
2/5/15,5.355403525
2/6/15,5.322820037
2/7/15,5.290236549
2/8/15,5.216836735
2/9/15,5.14343692
2/10/15,5.070037106
2/11/15,5.014494434
2/12/15,4.999768089
2/13/15,4.985041744
2/14/15,4.963172542
2/15/15,5.002527829
2/16/15,5.041883117
2/17/15,5.081238404
2/18/15,5.120593692
2/19/15,5.122108844
2/20/15,5.126870748
2/21/15,5.131632653
2/22/15,5.136394558
2/23/15,5.141156463
2/24/15,5.145918367
2/25/15,5.13877551
2/26/15,5.152040816
2/27/15,5.165306122
2/28/15,5.178571429
3/1/15,5.151020408
3/2/15,5.123469388
3/3/15,5.087981859
3/4/15,5.052494331
3/5/15,5.037414966
3/6/15,5.029478458
3/7/15,5.02154195
3/8/15,5.034013605
3/9/15,5.046485261
3/10/15,5.058956916
3/11/15,5.071428571
3/12/15,5.083333333
3/13/15,5.095238095
3/14/15,5.107142857
3/15/15,5.139455782
3/16/15,5.171768707
3/17/15,5.204081633
3/18/15,5.224489796
3/19/15,5.265306122
3/20/15,5.306122449
3/21/15,5.346938776
3/22/15,5.346938776
