,support
2013-10-23,9.134920634920634
2013-10-24,9.117687074829933
2013-10-25,9.100453514739229
2013-10-26,9.083219954648527
2013-10-27,9.065986394557823
2013-10-28,9.069160997732427
2013-10-29,9.07233560090703
2013-10-30,9.075510204081633
2013-10-31,9.070748299319728
2013-11-01,9.065986394557823
2013-11-02,9.061224489795917
2013-11-03,9.056462585034014
2013-11-04,9.05170068027211
2013-11-05,9.046938775510203
2013-11-06,9.0421768707483
2013-11-07,9.045918367346939
2013-11-08,9.049659863945578
2013-11-09,9.067006802721087
2013-11-10,9.084353741496598
2013-11-11,9.101700680272108
2013-11-12,9.119047619047619
2013-11-13,9.166156462585034
2013-11-14,9.192857142857145
2013-11-15,9.219557823129252
2013-11-16,9.24625850340136
2013-11-17,9.27295918367347
2013-11-18,9.299659863945578
2013-11-19,9.326360544217687
2013-11-20,9.353061224489796
2013-11-21,9.351700680272108
2013-11-22,9.350340136054422
2013-11-23,9.348979591836734
2013-11-24,9.347619047619048
2013-11-25,9.34625850340136
2013-11-26,9.344897959183672
2013-11-27,9.343537414965985
2013-11-28,9.35899814471243
2013-11-29,9.374458874458876
2013-11-30,9.383116883116884
2013-12-01,9.391774891774892
2013-12-02,9.400432900432902
2013-12-03,9.409090909090908
2013-12-04,9.405844155844155
2013-12-05,9.402597402597403
2013-12-06,9.38982683982684
2013-12-07,9.377056277056278
2013-12-08,9.364285714285714
2013-12-09,9.351515151515153
2013-12-10,9.329816017316018
2013-12-11,9.308116883116883
2013-12-12,9.286417748917748
2013-12-13,9.264718614718616
2013-12-14,9.243019480519479
2013-12-15,9.221320346320349
2013-12-16,9.199621212121214
2013-12-17,9.177922077922078
2013-12-18,9.172294372294374
2013-12-19,9.166666666666668
2013-12-20,9.16254355400697
2013-12-21,9.167944250871079
2013-12-22,9.173344947735192
2013-12-23,9.178745644599303
2013-12-24,9.184146341463414
2013-12-25,9.189547038327527
2013-12-26,9.194947735191636
2013-12-27,9.20034843205575
2013-12-28,9.20574912891986
2013-12-29,9.211149825783972
2013-12-30,9.216550522648083
2013-12-31,9.221951219512196
2014-01-01,9.227351916376307
2014-01-02,9.232752613240418
2014-01-03,9.238153310104527
2014-01-04,9.24355400696864
2014-01-05,9.248954703832753
2014-01-06,9.254355400696864
2014-01-07,9.242409158785465
2014-01-08,9.230462916874066
2014-01-09,9.218516674962668
2014-01-10,9.206570433051269
2014-01-11,9.19462419113987
2014-01-12,9.182677949228472
2014-01-13,9.19113987058238
2014-01-14,9.201869365632433
2014-01-15,9.212598860682485
2014-01-16,9.223328355732535
2014-01-17,9.234057850782591
2014-01-18,9.234583264199989
2014-01-19,9.235108677617388
2014-01-20,9.194817764504176
2014-01-21,9.154526851390964
2014-01-22,9.11423593827775
2014-01-23,9.047187655550024
2014-01-24,8.980139372822299
2014-01-25,8.913091090094573
2014-01-26,8.846042807366848
2014-01-27,8.819810851169736
2014-01-28,8.81806869089099
2014-01-29,8.816326530612244
2014-01-30,8.839981447124304
2014-01-31,8.863636363636363
2014-02-01,8.928107606679035
2014-02-02,8.992578849721708
2014-02-03,9.016233766233766
2014-02-04,9.038613172541742
2014-02-05,9.06099257884972
2014-02-06,9.103780148423004
2014-02-07,9.122758194186765
2014-02-08,9.141736239950527
2014-02-09,9.160714285714286
2014-02-10,9.220508658008658
2014-02-11,9.280303030303031
2014-02-12,9.343073593073594
2014-02-13,9.385435992578849
2014-02-14,9.427798392084105
2014-02-15,9.470160791589363
2014-02-16,9.512523191094619
2014-02-17,9.534477427334568
2014-02-18,9.526669758812616
2014-02-19,9.518862090290662
2014-02-20,9.511054421768707
2014-02-21,9.5
2014-02-22,9.482142857142858
2014-02-23,9.464285714285714
2014-02-24,9.446428571428571
2014-02-25,9.428571428571429
2014-02-26,9.445578231292517
2014-02-27,9.482993197278912
2014-02-28,9.520408163265305
2014-03-01,9.5578231292517
2014-03-02,9.595238095238097
2014-03-03,9.63265306122449
2014-03-04,9.670068027210887
2014-03-05,9.67687074829932
2014-03-06,9.642857142857142
2014-03-07,9.602350030921459
2014-03-08,9.561842918985775
2014-03-09,9.521335807050093
2014-03-10,9.480828695114411
2014-03-11,9.440321583178726
2014-03-12,9.447008348794062
2014-03-13,9.474103277674706
2014-03-14,9.50119820655535
2014-03-15,9.528293135435993
2014-03-16,9.555388064316636
2014-03-17,9.582482993197278
2014-03-18,9.609577922077921
2014-03-19,9.62987012987013
2014-03-20,9.618274582560298
