election,sample_size,institute,date,party,support,election_date,days_to_election
1953,,allensbach,1951-04-15,oth,24,1953-09-06,875
1953,,allensbach,1950-11-15,gru,,1953-09-06,1026
1953,,allensbach,1952-12-15,spd,35,1953-09-06,265
1953,,allensbach,1953-02-15,spd,33,1953-09-06,203
1953,,allensbach,1951-03-15,gru,,1953-09-06,906
1953,,allensbach,1951-03-15,oth,21,1953-09-06,906
1953,,allensbach,1951-04-15,gru,,1953-09-06,875
1953,,allensbach,1951-06-15,oth,23,1953-09-06,814
1953,,allensbach,1950-04-15,gru,,1953-09-06,1240
1953,,allensbach,1951-06-15,gru,,1953-09-06,814
1953,,allensbach,1950-05-15,gru,,1953-09-06,1210
1953,,allensbach,1950-11-15,cdu,26,1953-09-06,1026
1953,,allensbach,1950-05-15,cdu,38,1953-09-06,1210
1953,,allensbach,1951-08-15,oth,27,1953-09-06,753
1953,,allensbach,1952-11-15,gru,,1953-09-06,295
1953,,allensbach,1950-10-15,lin,,1953-09-06,1057
1953,,allensbach,1951-08-15,gru,,1953-09-06,753
1953,,allensbach,1953-02-15,gru,,1953-09-06,203
1953,,allensbach,1952-06-15,oth,21,1953-09-06,448
1953,,allensbach,1952-09-15,gru,,1953-09-06,356
1953,,allensbach,1952-08-15,gru,,1953-09-06,387
1953,,allensbach,1950-03-15,gru,,1953-09-06,1271
1953,,allensbach,1951-10-15,gru,,1953-09-06,692
1953,,allensbach,1950-07-15,cdu,39,1953-09-06,1149
1953,,allensbach,1950-09-15,oth,21,1953-09-06,1087
1953,,allensbach,1952-04-15,oth,18,1953-09-06,509
1953,,allensbach,1950-04-15,cdu,32,1953-09-06,1240
1953,,allensbach,1950-01-15,cdu,26,1953-09-06,1330
1953,,allensbach,1950-12-15,fdp,17,1953-09-06,996
1953,,allensbach,1952-12-15,oth,17,1953-09-06,265
1953,,allensbach,1952-02-15,cdu,31,1953-09-06,569
1953,,allensbach,1950-08-15,oth,21,1953-09-06,1118
1953,,allensbach,1950-10-15,gru,,1953-09-06,1057
1953,,allensbach,1950-10-15,oth,21,1953-09-06,1057
1953,,allensbach,1951-08-15,cdu,22,1953-09-06,753
1953,,allensbach,1950-08-15,gru,,1953-09-06,1118
1953,,allensbach,1953-05-15,spd,35,1953-09-06,114
1953,,allensbach,1952-12-15,gru,,1953-09-06,265
1953,,allensbach,1950-11-15,lin,,1953-09-06,1026
1953,,allensbach,1952-10-15,cdu,32,1953-09-06,326
1953,,allensbach,1952-09-15,cdu,33,1953-09-06,356
1953,,allensbach,1950-07-15,gru,,1953-09-06,1149
1953,,allensbach,1953-07-15,cdu,37,1953-09-06,53
1953,,allensbach,1950-11-15,oth,19,1953-09-06,1026
1953,,allensbach,1950-03-15,spd,32,1953-09-06,1271
1953,,allensbach,1950-02-15,gru,,1953-09-06,1299
1953,,allensbach,1953-08-15,spd,28,1953-09-06,22
1953,,allensbach,1951-09-15,gru,,1953-09-06,722
1953,,allensbach,1953-03-15,gru,,1953-09-06,175
1953,,allensbach,1951-10-15,cdu,29,1953-09-06,692
1953,,allensbach,1951-06-15,cdu,25,1953-09-06,814
1953,,allensbach,1952-10-15,gru,,1953-09-06,326
1953,,allensbach,1951-01-15,cdu,29,1953-09-06,965
1953,,allensbach,1950-10-15,cdu,33,1953-09-06,1057
1953,,allensbach,1952-07-15,gru,,1953-09-06,418
1953,,allensbach,1950-01-15,gru,,1953-09-06,1330
1953,,allensbach,1952-06-15,gru,,1953-09-06,448
1953,,allensbach,1952-04-15,cdu,32,1953-09-06,509
1953,,allensbach,1950-09-15,gru,,1953-09-06,1087
1953,,allensbach,1951-12-15,cdu,29,1953-09-06,631
1953,,allensbach,1953-01-15,gru,,1953-09-06,234
1953,,allensbach,1950-09-15,cdu,31,1953-09-06,1087
1953,,allensbach,1950-08-15,cdu,31,1953-09-06,1118
1953,,allensbach,1951-08-15,fdp,16,1953-09-06,753
1953,,allensbach,1951-06-15,fdp,15,1953-09-06,814
1953,,allensbach,1950-11-15,fdp,16,1953-09-06,1026
1953,,allensbach,1950-02-15,cdu,27,1953-09-06,1299
1953,,allensbach,1952-07-15,oth,19,1953-09-06,418
1953,,allensbach,1951-01-15,gru,,1953-09-06,965
1953,,allensbach,1950-12-15,gru,,1953-09-06,996
1953,,allensbach,1952-01-15,cdu,28,1953-09-06,600
1953,,allensbach,1950-02-15,spd,31,1953-09-06,1299
1953,,allensbach,1951-12-15,oth,21,1953-09-06,631
1953,,allensbach,1953-07-15,spd,31,1953-09-06,53
1953,,allensbach,1953-06-15,spd,34,1953-09-06,83
1953,,allensbach,1951-10-15,oth,24,1953-09-06,692
1953,,allensbach,1951-09-15,oth,23,1953-09-06,722
1953,,allensbach,1952-11-15,cdu,34,1953-09-06,295
1953,,allensbach,1953-03-15,spd,33,1953-09-06,175
1953,,allensbach,1953-07-15,fdp,15,1953-09-06,53
1953,,allensbach,1952-08-15,cdu,33,1953-09-06,387
1953,,allensbach,1951-01-15,oth,19,1953-09-06,965
1953,,allensbach,1950-12-15,oth,16,1953-09-06,996
1953,,allensbach,1953-08-15,cdu,41,1953-09-06,22
1953,,allensbach,1953-08-15,gru,,1953-09-06,22
1953,,allensbach,1953-07-15,gru,,1953-09-06,53
1953,,allensbach,1951-11-15,cdu,27,1953-09-06,661
1953,,allensbach,1953-05-15,gru,,1953-09-06,114
1953,,allensbach,1952-04-15,spd,38,1953-09-06,509
1953,,allensbach,1950-07-15,oth,14,1953-09-06,1149
1953,,allensbach,1951-04-15,cdu,23,1953-09-06,875
1953,,allensbach,1951-03-15,cdu,29,1953-09-06,906
1953,,allensbach,1950-02-15,oth,26,1953-09-06,1299
1953,,allensbach,1950-01-15,oth,27,1953-09-06,1330
1953,,allensbach,1950-12-15,cdu,29,1953-09-06,996
1953,,allensbach,1950-12-15,spd,38,1953-09-06,996
1953,,allensbach,1952-10-15,spd,36,1953-09-06,326
1953,,allensbach,1950-11-15,spd,39,1953-09-06,1026
1953,,allensbach,1952-02-15,gru,,1953-09-06,569
1953,,allensbach,1951-11-15,gru,,1953-09-06,661
1953,,allensbach,1951-12-15,gru,,1953-09-06,631
1953,,allensbach,1952-12-15,lin,,1953-09-06,265
1953,,allensbach,1950-10-15,spd,32,1953-09-06,1057
1953,,allensbach,1952-11-15,lin,,1953-09-06,295
1953,,allensbach,1952-10-15,lin,,1953-09-06,326
1953,,allensbach,1951-04-15,fdp,15,1953-09-06,875
1953,,allensbach,1951-03-15,fdp,15,1953-09-06,906
1953,,allensbach,1950-03-15,cdu,27,1953-09-06,1271
1953,,allensbach,1952-08-15,oth,19,1953-09-06,387
1953,,allensbach,1950-10-15,fdp,14,1953-09-06,1057
1953,,allensbach,1952-01-15,lin,,1953-09-06,600
1953,,allensbach,1953-06-15,cdu,39,1953-09-06,83
1953,,allensbach,1952-02-15,oth,21,1953-09-06,569
1953,,allensbach,1952-01-15,oth,22,1953-09-06,600
1953,,allensbach,1953-02-15,cdu,34,1953-09-06,203
1953,,allensbach,1951-11-15,oth,22.5,1953-09-06,661
1953,,allensbach,1953-01-15,cdu,33,1953-09-06,234
1953,,allensbach,1953-04-15,spd,32,1953-09-06,144
1953,,allensbach,1953-08-15,fdp,12,1953-09-06,22
1953,,allensbach,1950-01-15,fdp,16,1953-09-06,1330
1953,,allensbach,1953-01-15,spd,36,1953-09-06,234
1953,,allensbach,1952-11-15,spd,35,1953-09-06,295
1953,,allensbach,1950-08-15,lin,,1953-09-06,1118
1953,,allensbach,1952-09-15,spd,33,1953-09-06,356
1953,,allensbach,1952-08-15,spd,36,1953-09-06,387
1953,,allensbach,1953-06-15,gru,,1953-09-06,83
1953,,allensbach,1952-06-15,spd,38,1953-09-06,448
1953,,allensbach,1950-02-15,lin,,1953-09-06,1299
1953,,allensbach,1951-09-15,cdu,25,1953-09-06,722
1953,,allensbach,1950-05-15,oth,18,1953-09-06,1210
1953,,allensbach,1950-04-15,oth,19,1953-09-06,1240
1953,,allensbach,1950-03-15,oth,24,1953-09-06,1271
1953,,allensbach,1952-10-15,fdp,12,1953-09-06,326
1953,,allensbach,1952-09-15,fdp,14,1953-09-06,356
1953,,allensbach,1952-08-15,fdp,12,1953-09-06,387
1953,,allensbach,1952-04-15,gru,,1953-09-06,509
1953,,allensbach,1953-03-15,lin,,1953-09-06,175
1953,,allensbach,1951-03-15,spd,35,1953-09-06,906
1953,,allensbach,1952-01-15,gru,,1953-09-06,600
1953,,allensbach,1953-01-15,lin,,1953-09-06,234
1953,,allensbach,1953-06-15,oth,15,1953-09-06,83
1953,,allensbach,1951-10-15,fdp,13,1953-09-06,692
1953,,allensbach,1951-09-15,fdp,14,1953-09-06,722
1953,,allensbach,1953-03-15,oth,18,1953-09-06,175
1953,,allensbach,1952-09-15,lin,,1953-09-06,356
1953,,allensbach,1952-08-15,lin,,1953-09-06,387
1953,,allensbach,1951-01-15,fdp,15,1953-09-06,965
1953,,allensbach,1952-10-15,oth,20,1953-09-06,326
1953,,allensbach,1952-09-15,oth,20,1953-09-06,356
1953,,allensbach,1952-04-15,lin,,1953-09-06,509
1953,,allensbach,1951-12-15,lin,,1953-09-06,631
1953,,allensbach,1951-11-15,lin,,1953-09-06,661
1953,,allensbach,1951-10-15,lin,,1953-09-06,692
1953,,allensbach,1951-09-15,lin,,1953-09-06,722
1953,,allensbach,1951-08-15,lin,,1953-09-06,753
1953,,allensbach,1952-12-15,cdu,33,1953-09-06,265
1953,,allensbach,1950-02-15,fdp,16,1953-09-06,1299
1953,,allensbach,1951-03-15,lin,,1953-09-06,906
1953,,allensbach,1951-01-15,lin,,1953-09-06,965
1953,,allensbach,1953-06-15,fdp,12,1953-09-06,83
1953,,allensbach,1952-07-15,cdu,33,1953-09-06,418
1953,,allensbach,1952-06-15,cdu,28,1953-09-06,448
1953,,allensbach,1951-08-15,spd,35,1953-09-06,753
1953,,allensbach,1950-07-15,lin,,1953-09-06,1149
1953,,allensbach,1950-05-15,lin,,1953-09-06,1210
1953,,allensbach,1952-07-15,spd,33,1953-09-06,418
1953,,allensbach,1950-03-15,lin,,1953-09-06,1271
1953,,allensbach,1953-04-15,gru,,1953-09-06,144
1953,,allensbach,1950-01-15,lin,,1953-09-06,1330
1953,,allensbach,1951-12-15,spd,34,1953-09-06,631
1953,,allensbach,1952-11-15,fdp,14,1953-09-06,295
1953,,allensbach,1951-11-15,spd,36,1953-09-06,661
1953,,allensbach,1951-10-15,spd,34,1953-09-06,692
1953,,allensbach,1951-04-15,spd,38,1953-09-06,875
1953,,allensbach,1950-09-15,spd,33,1953-09-06,1087
1953,,allensbach,1953-04-15,lin,,1953-09-06,144
